cellID	cellType	sampleID
cell_823	cell_type_5	indiv1
cell_824	cell_type_5	indiv2
cell_825	cell_type_5	indiv1
cell_826	cell_type_5	indiv2
cell_827	cell_type_5	indiv1
cell_828	cell_type_5	indiv2
cell_829	cell_type_5	indiv1
cell_830	cell_type_5	indiv2
cell_831	cell_type_5	indiv1
cell_832	cell_type_5	indiv2
cell_833	cell_type_5	indiv1
cell_834	cell_type_5	indiv2
cell_835	cell_type_5	indiv1
cell_836	cell_type_5	indiv2
cell_837	cell_type_5	indiv1
cell_838	cell_type_5	indiv2
cell_839	cell_type_5	indiv1
cell_840	cell_type_5	indiv2
cell_841	cell_type_5	indiv1
cell_842	cell_type_5	indiv2
cell_843	cell_type_5	indiv1
cell_844	cell_type_5	indiv2
cell_845	cell_type_5	indiv1
cell_846	cell_type_5	indiv2
cell_847	cell_type_5	indiv1
cell_848	cell_type_5	indiv2
cell_849	cell_type_5	indiv1
cell_850	cell_type_5	indiv2
cell_851	cell_type_5	indiv1
cell_852	cell_type_5	indiv2
cell_853	cell_type_5	indiv1
cell_854	cell_type_5	indiv2
cell_855	cell_type_5	indiv1
cell_856	cell_type_5	indiv2
cell_857	cell_type_5	indiv1
cell_858	cell_type_5	indiv2
cell_859	cell_type_5	indiv1
cell_860	cell_type_5	indiv2
cell_861	cell_type_5	indiv1
cell_862	cell_type_5	indiv2
cell_863	cell_type_5	indiv1
cell_864	cell_type_5	indiv2
cell_865	cell_type_5	indiv1
cell_866	cell_type_5	indiv2
cell_867	cell_type_5	indiv1
cell_868	cell_type_5	indiv2
cell_869	cell_type_5	indiv1
cell_870	cell_type_5	indiv2
cell_871	cell_type_5	indiv1
cell_872	cell_type_5	indiv2
cell_873	cell_type_5	indiv1
cell_874	cell_type_5	indiv2
cell_875	cell_type_5	indiv1
cell_876	cell_type_5	indiv2
cell_877	cell_type_5	indiv1
cell_878	cell_type_5	indiv2
cell_879	cell_type_5	indiv1
cell_880	cell_type_5	indiv2
cell_881	cell_type_5	indiv1
cell_882	cell_type_5	indiv2
cell_883	cell_type_5	indiv1
cell_884	cell_type_5	indiv2
cell_885	cell_type_5	indiv1
cell_886	cell_type_5	indiv2
cell_887	cell_type_5	indiv1
cell_888	cell_type_5	indiv2
cell_889	cell_type_5	indiv1
cell_890	cell_type_5	indiv2
cell_891	cell_type_5	indiv1
cell_892	cell_type_5	indiv2
cell_893	cell_type_5	indiv1
cell_894	cell_type_5	indiv2
cell_895	cell_type_5	indiv1
cell_896	cell_type_5	indiv2
cell_897	cell_type_5	indiv1
cell_898	cell_type_5	indiv2
cell_899	cell_type_5	indiv1
cell_900	cell_type_5	indiv2
cell_901	cell_type_5	indiv1
cell_902	cell_type_5	indiv2
cell_903	cell_type_5	indiv1
cell_904	cell_type_5	indiv2
cell_905	cell_type_5	indiv1
cell_906	cell_type_5	indiv2
cell_907	cell_type_5	indiv1
cell_908	cell_type_5	indiv2
cell_909	cell_type_5	indiv1
cell_910	cell_type_5	indiv2
cell_911	cell_type_5	indiv1
cell_912	cell_type_5	indiv2
cell_913	cell_type_5	indiv1
cell_914	cell_type_5	indiv2
cell_915	cell_type_5	indiv1
cell_916	cell_type_5	indiv2
cell_917	cell_type_5	indiv1
cell_918	cell_type_5	indiv2
cell_919	cell_type_5	indiv1
cell_920	cell_type_5	indiv2
cell_921	cell_type_5	indiv1
cell_922	cell_type_5	indiv2
cell_923	cell_type_5	indiv1
cell_924	cell_type_5	indiv2
cell_925	cell_type_5	indiv1
cell_926	cell_type_5	indiv2
cell_927	cell_type_5	indiv1
cell_928	cell_type_5	indiv2
cell_929	cell_type_5	indiv1
cell_930	cell_type_5	indiv2
cell_931	cell_type_5	indiv1
cell_932	cell_type_5	indiv2
cell_933	cell_type_5	indiv1
cell_934	cell_type_5	indiv2
cell_935	cell_type_5	indiv1
cell_936	cell_type_5	indiv2
cell_937	cell_type_5	indiv1
cell_938	cell_type_5	indiv2
cell_939	cell_type_5	indiv1
cell_940	cell_type_5	indiv2
cell_941	cell_type_5	indiv1
cell_942	cell_type_5	indiv2
cell_943	cell_type_5	indiv1
cell_944	cell_type_5	indiv2
cell_945	cell_type_5	indiv1
cell_946	cell_type_5	indiv2
cell_947	cell_type_5	indiv1
cell_948	cell_type_5	indiv2
cell_949	cell_type_5	indiv1
cell_950	cell_type_5	indiv2
cell_951	cell_type_5	indiv1
cell_952	cell_type_5	indiv2
cell_953	cell_type_5	indiv1
cell_954	cell_type_5	indiv2
cell_955	cell_type_5	indiv1
cell_956	cell_type_5	indiv2
cell_957	cell_type_5	indiv1
cell_958	cell_type_5	indiv2
cell_959	cell_type_5	indiv1
cell_960	cell_type_5	indiv2
cell_961	cell_type_5	indiv1
cell_962	cell_type_5	indiv2
cell_963	cell_type_5	indiv1
cell_964	cell_type_5	indiv2
cell_965	cell_type_5	indiv1
cell_966	cell_type_5	indiv2
cell_967	cell_type_5	indiv1
cell_968	cell_type_5	indiv2
cell_969	cell_type_5	indiv1
cell_970	cell_type_5	indiv2
cell_971	cell_type_5	indiv1
cell_972	cell_type_5	indiv2
cell_973	cell_type_5	indiv1
cell_974	cell_type_5	indiv2
cell_975	cell_type_5	indiv1
cell_976	cell_type_5	indiv2
cell_977	cell_type_5	indiv1
cell_978	cell_type_5	indiv2
cell_979	cell_type_5	indiv1
cell_980	cell_type_5	indiv2
cell_981	cell_type_5	indiv1
cell_982	cell_type_5	indiv2
cell_983	cell_type_5	indiv1
cell_984	cell_type_5	indiv2
cell_985	cell_type_5	indiv1
cell_986	cell_type_5	indiv2
cell_987	cell_type_5	indiv1
cell_988	cell_type_5	indiv2
cell_989	cell_type_5	indiv1
cell_990	cell_type_5	indiv2
cell_991	cell_type_5	indiv1
cell_992	cell_type_5	indiv2
cell_993	cell_type_5	indiv1
cell_994	cell_type_5	indiv2
cell_995	cell_type_5	indiv1
cell_996	cell_type_5	indiv2
cell_997	cell_type_5	indiv1
cell_998	cell_type_5	indiv2
cell_999	cell_type_5	indiv1
cell_1000	cell_type_5	indiv2
